name,sentence_id,order_id,word
1533,ILLYRIO,158,13,take
1534,ILLYRIO,158,14,back
1536,ILLYRIO,158,16,father’s
1537,ILLYRIO,158,17,throne
1539,ILLYRIO,158,19,people
1540,ILLYRIO,158,20,drink
1541,ILLYRIO,158,21,secret
1542,ILLYRIO,158,22,toasts
1545,ILLYRIO,158,25,health
1547,ILLYRIO,158,27,cry
1548,ILLYRIO,158,28,out
1551,ILLYRIO,158,31,true
1552,ILLYRIO,158,32,king
1557,VISERYS,159,4,married
1558,ILLYRIO,160,0,soon
1560,ILLYRIO,160,2,dothraki
1561,ILLYRIO,160,3,never
1562,ILLYRIO,160,4,stay
1563,ILLYRIO,160,5,still
1565,ILLYRIO,160,7,long
1568,VISERYS,161,2,true
1570,VISERYS,161,4,lie
1573,VISERYS,161,7,horses
1575,ILLYRIO,162,1,wouldn’t
1576,ILLYRIO,162,2,ask
1577,ILLYRIO,162,3,khal
1578,ILLYRIO,162,4,drogo
1580,ILLYRIO,163,1,take
1584,ILLYRIO,163,5,king
1585,ILLYRIO,163,6,kings
1586,ILLYRIO,163,7,lack
1588,ILLYRIO,163,9,caution
1590,ILLYRIO,163,11,common
1591,ILLYRIO,163,12,men
1593,ILLYRIO,163,14,apologies
1596,ILLYRIO,163,17,given
1597,ILLYRIO,163,18,offense
1602,VISERYS,164,4,play
1604,VISERYS,164,6,man
1606,VISERYS,164,8,drogo
1608,VISERYS,164,10,give
1611,VISERYS,164,13,queen
1614,VISERYS,164,16,gives
1617,VISERYS,164,19,army
1622,VISERYS,165,4,want
1626,VISERYS,165,8,go
1627,VISERYS,165,9,home
1630,VISERYS,165,12,took
1635,VISERYS,165,17,tell
1637,VISERYS,165,19,sweet
1638,VISERYS,165,20,sister
1642,VISERYS,165,24,go
1643,VISERYS,165,25,home
1648,VISERYS,167,1,go
1649,VISERYS,167,2,home
1652,VISERYS,167,5,army
1654,VISERYS,167,7,khal
1655,VISERYS,167,8,drogo’s
1656,VISERYS,167,9,army
1659,VISERYS,167,12,let
1661,VISERYS,167,14,whole
1662,VISERYS,167,15,tribe
1663,VISERYS,167,16,fuck
1666,VISERYS,167,19,40000
1667,VISERYS,167,20,men
1670,VISERYS,167,23,horses
1671,VISERYS,167,24,too
1676,VISERYS,167,29,took
1679,SANSA,168,2,think
