"Team","Pts","FastBreakPts","Opp.FBPts","PointsInPaint","Opp.PiP","PointsOffTO","Opp.PoT","X2ndChancePTS","Opp.2ndCh.PTS","LeadChanges","TimesTied","Season","SeasonType","MatchCount","IsNBAChampion","year"
"Boston Celtics",100.585,16.46,15.85,44.93,52.71,20.12,18.78,15.38,14.56,8.22,7.28,"1996-1997","REG",82,0,1997
"Charlotte Hornets",98.878,10.98,11.1,38.05,42.49,16.8,16.38,13.07,16.05,5.91,5.93,"1996-1997","REG",82,0,1997
"Chicago Bulls",103.146,12.39,10.43,36.68,38.41,18.82,14.3,16.57,14.44,4.8,4.39,"1996-1997","REG",82,1,1997
"Cleveland Cavaliers",87.476,8.2,8.76,32.68,33.07,17.94,15.37,11.96,11.27,5.74,5.04,"1996-1997","REG",82,0,1997
"Dallas Mavericks",90.585,13.45,14.43,38.8,38.49,16.76,17.77,13.84,13.44,7.09,6.01,"1996-1997","REG",82,0,1997
"Denver Nuggets",97.805,12.01,13.4,35.12,45.37,14.13,19.67,14.2,15.56,7.59,6.12,"1996-1997","REG",82,0,1997
"Detroit Pistons",94.183,10.48,9.48,34.83,32.2,17.52,14.02,12.33,13.18,5.83,5.15,"1996-1997","REG",82,0,1997
"Golden State Warriors",99.622,9.57,11.74,40.37,42.85,17.32,20.78,15.12,15.02,6.04,6.09,"1996-1997","REG",82,0,1997
"Houston Rockets",100.585,11.9,12.66,42.8,39.66,16.6,18.33,13.26,14.2,6.62,5.11,"1996-1997","REG",82,0,1997
"Indiana Pacers",95.354,12.78,13.18,39.2,34.98,16.66,18.35,14.22,13.35,6.57,5.61,"1996-1997","REG",82,0,1997
"Los Angeles Clippers",97.183,13.38,12.71,40.66,44.32,18.51,18.3,15.27,14.04,5.49,4.82,"1996-1997","REG",82,0,1997
"Los Angeles Lakers",100,15.29,13.63,46.54,40.49,18.78,16.13,14.24,14.88,6.87,5.49,"1996-1997","REG",82,0,1997
"Miami Heat",94.829,12.29,9.4,37.56,37.66,18.61,17.23,13.27,12.82,5.52,4.8,"1996-1997","REG",82,0,1997
"Milwaukee Bucks",95.341,13.71,16.78,42.02,44.05,16.4,18.62,13.11,13.2,6.6,6.06,"1996-1997","REG",82,0,1997
"Minnesota Timberwolves",96.122,10.65,13,37.8,42.24,17.54,16.94,13.98,14.56,5.83,5.51,"1996-1997","REG",82,0,1997
"New Jersey Nets",97.244,14.52,14.84,40.44,43.07,17.56,17.78,17.23,14.23,6.55,5.29,"1996-1997","REG",82,0,1997
"New York Knicks",95.354,11.3,8.9,38.2,33.78,17.39,18.44,13.09,12.49,7.07,6.09,"1996-1997","REG",82,0,1997
"Orlando Magic",94.134,11.22,16.41,39.54,43.37,17.98,17.89,14.52,14.34,6.61,5.49,"1996-1997","REG",82,0,1997
"Philadelphia 76ers",100.183,13.73,16.43,44.98,48.1,17.04,20.7,16.56,16.48,6.68,5.78,"1996-1997","REG",82,0,1997
"Phoenix Suns",102.817,15.32,11.62,43.9,43.24,17.37,16.27,12.7,15.63,7.57,5.72,"1996-1997","REG",82,0,1997
"Portland Trailblazers",98.951,13.01,12.38,45.73,38.93,17.51,18.22,14.2,12.66,6.24,5.5,"1996-1997","REG",82,0,1997
"Sacramento Kings",96.439,12.99,13.72,39.49,41.56,16.55,18.88,14.8,13.85,6.78,5.79,"1996-1997","REG",82,0,1997
"San Antonio Spurs",90.463,11.61,12.89,42.2,40.76,15.46,17.45,14.27,15.02,5.26,4.57,"1996-1997","REG",82,0,1997
"Seattle SuperSonics",100.878,15,10.55,44.46,33.71,21.15,16.46,14.48,14.37,6.45,5.31,"1996-1997","REG",82,0,1997
"Toronto Raptors",95.476,17.54,17.67,40.85,43.24,17.87,18.9,15,14.82,6.07,4.52,"1996-1997","REG",82,0,1997
"Utah Jazz",103.098,14,8.05,45.41,34.66,18.67,15.84,12.67,12.99,6.77,5.68,"1996-1997","REG",82,0,1997
"Vancouver Grizzlies",89.183,11.16,14.37,39.2,46.2,14.8,17.39,14.02,16.05,5.51,4.5,"1996-1997","REG",82,0,1997
"Washington Wizards",99.354,14.48,12.65,48.59,39.93,18.73,17.07,14.77,13.51,7.35,5.9,"1996-1997","REG",82,0,1997
"Atlanta Hawks",89,7.8,11.1,32.4,34.6,12.3,19.5,13.4,14.6,6.6,5.1,"1996-1997","POFF",10,0,1997
"Charlotte Hornets",95.667,6.67,10.67,41.33,44.67,18.33,15.67,14,11.67,6.33,11,"1996-1997","POFF",3,0,1997
"Chicago Bulls",92.526,10.05,7.58,36.95,31.47,13.05,9.68,16.53,11.63,6.32,4.63,"1996-1997","POFF",19,1,1997
"Detroit Pistons",85.6,8.8,8.8,31.6,35.2,19.2,11.8,9.8,12.6,7.4,6.6,"1996-1997","POFF",5,0,1997
"Houston Rockets",101.313,11.38,11.81,39.88,40.75,14.06,18.44,14.81,14.56,7.69,6.13,"1996-1997","POFF",16,0,1997
"Los Angeles Clippers",92.333,10,15,38,43.33,18,15,14,10.33,3,3,"1996-1997","POFF",3,0,1997
"Los Angeles Lakers",95.222,10.67,12.33,43.78,34.67,15.78,14.11,11.22,13.44,6.67,5.56,"1996-1997","POFF",9,0,1997
"Miami Heat",85.941,12.35,9.53,32.82,36.59,9.88,11.82,12.47,12.47,4.47,3.35,"1996-1997","POFF",17,0,1997
"Minnesota Timberwolves",99.667,9.67,14.67,45.33,40.67,18,14.67,19,11.67,10.33,9,"1996-1997","POFF",3,0,1997
"New York Knicks",91.2,10.3,10.5,37.8,36,16.4,15.2,10.9,13.1,6.5,6.5,"1996-1997","POFF",10,0,1997
"Orlando Magic",84.2,9.4,15.2,36.8,36.8,16.8,14.2,8.8,15.8,2.8,3.2,"1996-1997","POFF",5,0,1997
"Phoenix Suns",100.2,13.2,10,33.2,43.6,17.4,18.6,11.4,16.8,6.4,4.2,"1996-1997","POFF",5,0,1997
"Portland Trailblazers",89.75,12.5,10.25,40,47,13.75,16,16.5,13,5.25,4.75,"1996-1997","POFF",4,0,1997
"Seattle SuperSonics",105.083,13.08,12.08,43.33,37.67,19.08,16.08,15.58,15.58,7.75,5,"1996-1997","POFF",12,0,1997
"Utah Jazz",96.05,9.95,9.7,34.3,37.7,14.45,14.95,11.1,11.6,6.8,5.4,"1996-1997","POFF",20,0,1997
"Washington Wizards",95,7,10,40.67,38.67,17.67,19,14.33,18,6,8.33,"1996-1997","POFF",3,0,1997
"Atlanta Hawks",95.854,10.89,13.32,39.44,38.22,15.51,16.48,15.93,13.99,5.48,5.11,"1997-1998","REG",82,0,1998
"Boston Celtics",95.902,15.24,15.17,41.29,46.78,22.43,17.77,16.46,14.35,5.4,5.26,"1997-1998","REG",82,0,1998
"Charlotte Hornets",96.622,14.06,13.01,40.73,40.85,17.02,17.27,13.22,13.78,6.2,5.39,"1997-1998","REG",82,0,1998
"Chicago Bulls",96.72,13.01,12.3,38.66,37.24,17.74,15.39,16.1,13.59,5.51,4.91,"1997-1998","REG",82,1,1998
"Cleveland Cavaliers",92.5,13.3,13.2,40.71,36.39,19.18,18.57,13.44,12.8,6.83,6.18,"1997-1998","REG",82,0,1998
"Dallas Mavericks",91.39,13.79,15.85,33.05,43.93,16.32,16.73,13.44,16.32,5.98,5.13,"1997-1998","REG",82,0,1998
"Denver Nuggets",89.024,12.74,12.77,33.07,40.73,15.55,18.3,14.37,15.15,6.1,4.74,"1997-1998","REG",82,0,1998
"Detroit Pistons",94.159,13.45,10.96,40,34.22,17.48,15.73,14.45,14.26,6.91,6.55,"1997-1998","REG",82,0,1998
"Golden State Warriors",88.256,11.54,13.74,37.1,40.85,14.89,18.63,16.7,15.17,5.65,5,"1997-1998","REG",82,0,1998
"Houston Rockets",98.768,12.52,13.78,39.29,41.37,16.29,17.77,14.23,15.44,6.6,5.35,"1997-1998","REG",82,0,1998
"Indiana Pacers",96.024,14,12.17,36.59,37.2,18.22,14.52,12.12,14.34,5.78,5.02,"1997-1998","REG",82,0,1998
"Los Angeles Clippers",95.915,14.9,14.67,41.85,47.63,15.55,18.67,14.77,16.27,6.04,4.89,"1997-1998","REG",82,0,1998
"Los Angeles Lakers",105.512,18.35,13.28,54.02,40.37,18.32,17.65,14.52,15.65,5.57,5.34,"1997-1998","REG",82,0,1998
"Miami Heat",94.963,13.67,10.8,38.88,36.59,16.16,16.5,14.32,14.33,5.54,4.63,"1997-1998","REG",82,0,1998
"Milwaukee Bucks",94.488,15.72,16.79,36.51,43.1,17.82,18.98,14.44,13.57,7.09,6.28,"1997-1998","REG",82,0,1998
"Minnesota Timberwolves",101.098,14.3,14.05,39.44,42.17,17.18,16.43,15.04,16.34,7.18,6.13,"1997-1998","REG",82,0,1998
"New Jersey Nets",99.634,13.93,13.48,40.73,44.66,19.9,16.33,15.79,15.2,6.15,5.55,"1997-1998","REG",82,0,1998
"New York Knicks",91.573,11.66,9.34,34.78,32.41,17.27,15.46,12.34,12.09,7.63,6.1,"1997-1998","REG",82,0,1998
"Orlando Magic",90.085,9.46,14.82,36.05,40.95,15.96,16.88,16.46,14.52,6.06,5.73,"1997-1998","REG",82,0,1998
"Philadelphia 76ers",93.305,15.46,14.54,41,37.9,17.32,18.27,14.59,14.66,5.6,5.57,"1997-1998","REG",82,0,1998
"Phoenix Suns",99.585,14.57,11.79,41.59,39.8,18.63,16.56,13.87,14.48,6.59,5.73,"1997-1998","REG",82,0,1998
"Portland Trailblazers",94.317,11.95,13.37,44.05,36.17,15.52,17.6,15.84,12.3,6.57,6.11,"1997-1998","REG",82,0,1998
"Sacramento Kings",93.134,13.17,15.68,41.59,44.34,16.17,17.63,14.66,15.13,7.1,5.68,"1997-1998","REG",82,0,1998
"San Antonio Spurs",92.524,10.79,10.54,43.34,33.61,13.29,16.72,13.22,13.49,5.73,5.48,"1997-1998","REG",82,0,1998
"Seattle SuperSonics",100.561,15.74,12.91,41.59,38.44,19.88,15.57,13.88,15.17,4.68,4.5,"1997-1998","REG",82,0,1998
"Toronto Raptors",94.89,19.62,22.5,42.54,48.39,17.87,19.29,15.78,17.91,5.73,5.34,"1997-1998","REG",82,0,1998
"Utah Jazz",100.963,13.2,10.12,41.98,35.24,16.27,16.78,13.79,13.57,5.16,5.09,"1997-1998","REG",82,0,1998
"Vancouver Grizzlies",96.622,13.33,17.84,44.46,42.85,15.52,19.7,14.6,15.29,6.07,5.45,"1997-1998","REG",82,0,1998
"Washington Wizards",97.183,12.09,13.68,40.93,42.83,18.21,15.29,15.09,14.28,5.57,5.15,"1997-1998","REG",82,0,1998
"Atlanta Hawks",87.5,10.5,10,30.5,37.5,15.5,14.5,11.75,9.75,5.75,6.5,"1997-1998","POFF",4,0,1998
"Charlotte Hornets",82.778,10.22,11.33,33.11,33.56,13.33,16,9.89,13,5.44,5.78,"1997-1998","POFF",9,0,1998
"Chicago Bulls",93.143,9.33,9.19,36.48,34.95,17.71,13.14,15.81,11.67,7.1,6.19,"1997-1998","POFF",21,1,1998
"Cleveland Cavaliers",80.75,8.5,10.5,33.5,34.5,13,21.25,9.75,10.25,4.5,5,"1997-1998","POFF",4,0,1998
"Houston Rockets",84.6,9.6,12.4,32.4,37.6,10,14.4,12.6,10.8,1.8,2.2,"1997-1998","POFF",5,0,1998
"Indiana Pacers",91.75,8.19,10.75,31.25,35.25,17.13,15.81,10.94,14.31,6.88,6.19,"1997-1998","POFF",16,0,1998
"Los Angeles Lakers",100.231,13.92,11.62,49.54,41.85,15.92,16.85,13.85,16.15,6.38,4.77,"1997-1998","POFF",13,0,1998
"Miami Heat",87.4,6.8,12.2,31.2,34,16.4,17,9,14,4.2,3.6,"1997-1998","POFF",5,0,1998
"Minnesota Timberwolves",90.2,10.6,15.4,32,42.8,15.4,17,15.6,15,6.8,4.8,"1997-1998","POFF",5,0,1998
"New Jersey Nets",95,9.67,12.33,47.33,40,14.33,20,16.67,18,4,3.67,"1997-1998","POFF",3,0,1998
"New York Knicks",88.6,12.9,7.7,34.2,30,16.7,16.8,13.3,9.2,5.2,4.8,"1997-1998","POFF",10,0,1998
"Phoenix Suns",93,11.25,12.75,39,45.5,14.25,12.25,10,12.75,7,7.25,"1997-1998","POFF",4,0,1998
"Portland Trailblazers",99.75,11.5,16,39,53,13.5,17.5,18.5,11.25,5,4.75,"1997-1998","POFF",4,0,1998
"San Antonio Spurs",91.778,9.22,8.56,38.89,31.78,11.44,16.78,12,10.33,5.11,5.44,"1997-1998","POFF",9,0,1998
"Seattle SuperSonics",95.2,13.4,13.5,43.6,41.8,17.5,15.5,17.4,16,7.8,5.6,"1997-1998","POFF",10,0,1998
"Utah Jazz",88.95,10.4,7.2,35.5,35.6,15.45,13.7,10.1,12.7,4.8,4.3,"1997-1998","POFF",20,0,1998
"Portland Trailblazers",94.84,12.58,10.42,37.4,34.88,18.08,15.14,15.24,12.86,6.42,5.34,"1998-1999","REG",50,0,1999
"Phoenix Suns",95.58,14.24,12.28,36.92,37.88,17.78,15.1,13,15.62,6.5,5.14,"1998-1999","REG",50,0,1999
"Philadelphia 76ers",89.66,17.3,11.8,38.48,32.96,20.08,16.98,14.66,12.22,5.44,4.8,"1998-1999","REG",50,0,1999
"Orlando Magic",89.46,12.66,13.86,35.2,39.08,19,17.36,15.32,12.32,5.92,5.74,"1998-1999","REG",50,0,1999
"Seattle SuperSonics",94.86,12.3,12.8,40.92,41.52,15.86,16.24,14.82,14.52,6.14,4.94,"1998-1999","REG",50,0,1999
"New York Knicks",86.4,9.66,8.06,35.6,28.48,15.62,16.14,10.26,12.44,5.34,5.22,"1998-1999","REG",50,0,1999
"Charlotte Hornets",92.88,12.54,13.82,33.96,37.72,17.08,18.36,10.18,13.82,6.12,5.2,"1998-1999","REG",50,0,1999
"New Jersey Nets",91.38,14.7,12.36,35.96,42.4,16.78,16.1,14.34,12.96,5.34,4.94,"1998-1999","REG",50,0,1999
"Minnesota Timberwolves",92.94,11.66,12.68,33.88,35.84,17.42,14.14,16.32,12.92,5.4,5.3,"1998-1999","REG",50,0,1999
"Milwaukee Bucks",91.68,12.42,11.2,34,33.36,18.58,15.68,12.68,14.46,7.96,6.62,"1998-1999","REG",50,0,1999
"Miami Heat",88.98,10,8.94,33.24,31.64,15.5,18.04,10.94,12.78,5.56,4.68,"1998-1999","REG",50,0,1999
"Vancouver Grizzlies",88.86,10.68,17.54,39.08,43.4,15.98,19.52,13.44,15.06,5.2,5.22,"1998-1999","REG",50,0,1999
"Los Angeles Lakers",99,12.12,12.96,46.76,38.52,14.98,17.16,14.2,14.68,6.86,5.98,"1998-1999","REG",50,0,1999
"Los Angeles Clippers",90.38,10.38,15.5,42.32,46.52,16.96,17.6,14.4,14.86,6.3,5.64,"1998-1999","REG",50,0,1999
"Indiana Pacers",94.66,9.18,13.2,32.96,34,14.12,14.06,11.28,12.48,7.26,7.5,"1998-1999","REG",50,0,1999
"Houston Rockets",94.22,12.52,12.36,40.08,37.52,14.7,17.74,12.74,13.78,5.36,4.24,"1998-1999","REG",50,0,1999
"Golden State Warriors",88.32,13.24,10.38,36.36,38.64,15.32,16.46,15.8,13.38,6.52,5.74,"1998-1999","REG",50,0,1999
"Detroit Pistons",90.36,11.94,10.52,35.28,31.12,17.28,16.06,11.66,12.04,5.36,4.92,"1998-1999","REG",50,0,1999
"Denver Nuggets",93.48,11.32,12.9,35.36,44.4,14.46,16.22,13.9,13.6,5.44,4.66,"1998-1999","REG",50,0,1999
"Dallas Mavericks",91.62,13.44,13.2,36.4,39.2,15.24,15.86,13,13.48,5.2,4.74,"1998-1999","REG",50,0,1999
"Cleveland Cavaliers",86.44,11.16,11.38,34.64,35.68,19.36,17,11.1,13.8,4.8,5.04,"1998-1999","REG",50,0,1999
"Chicago Bulls",81.9,8.92,12.56,33.28,38.52,15.9,17.66,10.82,11.94,5.26,4.68,"1998-1999","REG",50,0,1999
"Boston Celtics",93,13.74,14.52,41.12,42.44,18.48,18.36,14.76,14.78,6.12,4.9,"1998-1999","REG",50,0,1999
"Atlanta Hawks",86.3,10.42,10.58,33.32,31.72,14.2,15.04,14.96,11.7,6.56,5.68,"1998-1999","REG",50,0,1999
"Sacramento Kings",100.18,16.46,13.32,49.24,45.72,18.08,18.12,14.64,16.02,6.58,5.42,"1998-1999","REG",50,0,1999
"San Antonio Spurs",92.8,13.4,11.48,41.36,34.48,15.96,16.38,14.42,13.94,4.84,4.46,"1998-1999","REG",50,1,1999
"Toronto Raptors",91.14,18.06,16.42,34.8,33.76,16.52,18.22,15.9,12.48,5.38,5.6,"1998-1999","REG",50,0,1999
"Utah Jazz",93.32,12.52,9.84,38.8,34.8,16.66,17.04,12.2,13,5.24,5,"1998-1999","REG",50,0,1999
"Washington Wizards",91.2,10.52,13.2,36.4,36.92,18.06,16.26,13.52,12.56,6.7,5.38,"1998-1999","REG",50,0,1999
"Portland Trailblazers",86.154,7,10.38,32.46,32,15.62,14.77,11.85,11.15,3.69,4.23,"1998-1999","POFF",13,0,1999
"Phoenix Suns",92.333,13.33,11.67,34,42.67,18.33,15.67,8,8,4.67,3,"1998-1999","POFF",3,0,1999
"Philadelphia 76ers",89.25,13.63,11.75,38.25,29.25,16.63,14.5,16.75,12.75,5.88,4,"1998-1999","POFF",8,0,1999
"Orlando Magic",86.25,11.75,17.75,28,36,16.75,18.75,13,18.5,5.25,3.75,"1998-1999","POFF",4,0,1999
"New York Knicks",85,11.55,5.5,34.2,30.8,15.6,11.4,10.9,10.65,5.55,6.25,"1998-1999","POFF",20,0,1999
"Minnesota Timberwolves",80.5,5.5,7.25,23,35,12.5,16.25,15.25,10.5,9.25,7.5,"1998-1999","POFF",4,0,1999
"Milwaukee Bucks",95.333,11.33,10.67,33.33,34,19,17.67,12.67,20.33,8.67,6.33,"1998-1999","POFF",3,0,1999
"Miami Heat",79,3,7.6,22,32,11.4,14.8,9,13.2,4.4,5.8,"1998-1999","POFF",5,0,1999
"Los Angeles Lakers",94,8.88,13.5,43,38.25,16.38,16.38,14.25,11.5,6.5,5.63,"1998-1999","POFF",8,0,1999
"Indiana Pacers",93.615,8,11.69,33.54,37.85,12.62,16.38,13.23,12.38,7.92,6.69,"1998-1999","POFF",13,0,1999
"Houston Rockets",97,13,9.75,35,44.5,13.5,14.75,15,12.25,6.5,5.75,"1998-1999","POFF",4,0,1999
"Detroit Pistons",79.2,11.8,7.2,24.8,31.2,18.6,13,9.2,12.6,3.8,3.8,"1998-1999","POFF",5,0,1999
"Atlanta Hawks",79.667,7.56,13.22,29.56,28.22,13.11,17,14.33,9.33,3.44,4.22,"1998-1999","POFF",9,0,1999
"Sacramento Kings",90.6,13,13.4,41.6,42,17.2,21.6,15,16.6,10.4,7.4,"1998-1999","POFF",5,0,1999
"San Antonio Spurs",88.412,9.41,7.47,35.88,30.59,14.71,14.76,10.12,14,5.76,5.12,"1998-1999","POFF",17,1,1999
"Utah Jazz",89.182,11.36,9.18,36.73,36.73,17.55,17.55,13.36,13.09,7,6.73,"1998-1999","POFF",11,0,1999
"Atlanta Hawks",94.329,13.82,16.94,37.02,42,12.85,17.3,15.87,13.78,6.21,5.96,"1999-2000","REG",82,0,2000
"Boston Celtics",99.341,12.93,13.77,42.59,39.05,17.9,16.61,15.82,12.52,6,5.59,"1999-2000","REG",82,0,2000
"Chicago Bulls",84.78,7.34,13.33,35.02,39.02,14.27,20.35,12.46,12.94,5.33,4.61,"1999-2000","REG",82,0,2000
"Cleveland Cavaliers",96.951,16.94,13.12,40.46,37.56,17.28,18.88,13.85,14.45,6.3,5.99,"1999-2000","REG",82,0,2000
"Dallas Mavericks",101.415,15.61,15.17,36.85,42.85,17.72,15.35,12.62,16.82,5.91,5.12,"1999-2000","REG",82,0,2000
"Denver Nuggets",98.963,15.05,15.09,41.12,41.95,15.44,17.51,15.12,14.11,7.2,5.94,"1999-2000","REG",82,0,2000
"Detroit Pistons",103.451,16.51,12.62,38.66,36.8,17.96,16.98,12.11,14.33,6.4,5.88,"1999-2000","REG",82,0,2000
"Golden State Warriors",95.537,15.46,15.27,41.83,43.41,17.01,16.62,16.85,15.35,4.89,4.59,"1999-2000","REG",82,0,2000
"Houston Rockets",99.463,15.18,14.48,43.51,42.34,15.41,18.59,13.89,14.27,5.94,5.21,"1999-2000","REG",82,0,2000
"Indiana Pacers",101.293,13.65,14.56,35.51,42,15.06,14.9,11.67,13.52,5.48,4.9,"1999-2000","REG",82,0,2000
"Los Angeles Clippers",92.024,10.76,15.51,39.02,48.73,12.99,17.41,12.73,14.9,6,5.04,"1999-2000","REG",82,0,2000
"Los Angeles Lakers",100.817,11.66,12.41,47.56,34.8,16.38,13.93,15.17,13.18,6.06,5.79,"1999-2000","REG",82,1,2000
"Vancouver Grizzlies",93.927,12.77,16.45,40.51,43.61,16.05,19,13.72,13.88,7.06,6.04,"1999-2000","REG",82,0,2000
"Miami Heat",94.378,12.55,11.66,37.07,34.12,14.88,15.83,12.15,12.7,5.71,5.2,"1999-2000","REG",82,0,2000
"Milwaukee Bucks",101.22,14.91,14.11,34.54,36.9,17.77,16.83,13.67,14.27,6.12,5.22,"1999-2000","REG",82,0,2000
"Minnesota Timberwolves",98.524,15.18,13.32,35.54,38.49,16.13,14.84,14.13,13.13,6.22,5.66,"1999-2000","REG",82,0,2000
"New Jersey Nets",98,12.1,15.56,36.17,43,18.63,14.46,13.06,15.28,6.74,5.82,"1999-2000","REG",82,0,2000
"Charlotte Hornets",98.439,15.01,13.91,38.49,39.44,16.98,15.33,12.93,13.26,6.16,5.73,"1999-2000","REG",82,0,2000
"New York Knicks",92.134,8.23,10.45,34.24,31.76,14.62,15.67,10.28,12.35,5.84,5.15,"1999-2000","REG",82,0,2000
"Seattle SuperSonics",99.085,15.68,13.02,41.61,39.93,16.06,14.6,15.4,14.82,5.87,6,"1999-2000","REG",82,0,2000
"Orlando Magic",100.073,19.66,14.56,41.44,39.76,19.8,17.95,15.7,14.43,6.01,5.71,"1999-2000","REG",82,0,2000
"Philadelphia 76ers",94.768,16.26,12.7,43.27,37.2,18.68,15.02,15.2,12.71,6.55,6.16,"1999-2000","REG",82,0,2000
"Phoenix Suns",98.915,14.16,12.05,41.93,36.02,18.21,16.91,13.72,14.12,5.45,5.01,"1999-2000","REG",82,0,2000
"Portland Trailblazers",97.451,13.41,12.3,39.93,34.95,15.43,14.82,14.05,13.9,5.71,5.77,"1999-2000","REG",82,0,2000
"Sacramento Kings",104.963,16.46,17.05,45.24,42.2,18.94,17.57,14.62,14.26,5.9,5.89,"1999-2000","REG",82,0,2000
"San Antonio Spurs",96.171,13.05,11.76,39.22,35.27,15.39,15.44,12.7,13.28,6.44,5.35,"1999-2000","REG",82,0,2000
"Toronto Raptors",97.171,17.68,18.09,31.37,39.95,16.05,14.67,14.2,13.35,5.17,5.1,"1999-2000","REG",82,0,2000
"Utah Jazz",96.512,10.95,10.32,36.29,32.56,15.8,14.99,13.06,12.26,6.39,6.15,"1999-2000","REG",82,0,2000
"Washington Wizards",96.598,11.07,14.48,39.24,39.59,15.87,17.2,14.61,13.18,6.33,5.82,"1999-2000","REG",82,0,2000
"Detroit Pistons",79.667,11.67,12.33,29.33,32.67,14,16.67,9,9.33,6.67,4.33,"1999-2000","POFF",3,0,2000
"Indiana Pacers",98.087,8.43,13.13,32.61,43.3,8.39,9.26,13.74,13.87,4.78,4.3,"1999-2000","POFF",23,0,2000
"Los Angeles Lakers",99.783,10.13,11.17,44.26,36.61,9.83,8,16.3,13.83,4.65,3.91,"1999-2000","POFF",23,1,2000
"Miami Heat",83.2,11.2,10.7,31,30.4,12.6,13.7,9.9,9.6,8.4,6.1,"1999-2000","POFF",10,0,2000
"Milwaukee Bucks",95.2,14.2,7.6,36.8,30.4,14.2,13,10.2,16.2,6,5,"1999-2000","POFF",5,0,2000
"Minnesota Timberwolves",85.25,11.5,7.5,22.5,30,12.75,14.75,12,11.5,10.5,7.5,"1999-2000","POFF",4,0,2000
"Charlotte Hornets",91.25,11.5,10.5,35.5,36,15.5,19.75,17.75,13.5,12.5,9,"1999-2000","POFF",4,0,2000
"New York Knicks",84.438,10.94,8,32.5,29.25,12.25,11.13,9.69,11.69,7,5.81,"1999-2000","POFF",16,0,2000
"Seattle SuperSonics",93.2,11.6,10,33.6,34,19.4,15.8,14,13.8,2.8,3.2,"1999-2000","POFF",5,0,2000
"Philadelphia 76ers",94.2,13.4,10.5,42,34.6,16.6,13.9,15.3,13.6,6.8,5.2,"1999-2000","POFF",10,0,2000
"Phoenix Suns",87.333,11,10.56,38.44,36.89,13.56,14.89,15.33,15,5.67,5.44,"1999-2000","POFF",9,0,2000
"Portland Trailblazers",92.5,9.06,10.25,36.25,29.63,13.31,11.94,13.25,12.19,5.56,4.88,"1999-2000","POFF",16,0,2000
"Sacramento Kings",96.4,14.8,12.2,34.4,51.6,12.6,15.2,13.4,19.4,3.4,2.2,"1999-2000","POFF",5,0,2000
"San Antonio Spurs",81.75,14.75,9,37.5,39.5,15,16.75,15.25,15,6.5,6.5,"1999-2000","POFF",4,0,2000
"Toronto Raptors",83.667,6.67,10.33,23.33,34.67,17,15.33,12,8.67,7.67,5.67,"1999-2000","POFF",3,0,2000
"Utah Jazz",88.3,9.9,11.7,31.2,35.4,14.3,18.5,12.1,15.3,3.3,3.8,"1999-2000","POFF",10,0,2000
"Atlanta Hawks",90.963,11.01,13.06,36.22,36.8,15.3,18.74,13.63,12.99,5.38,5.28,"2000-2001","REG",82,0,2001
"Boston Celtics",94.622,10.07,13.35,35.59,35.85,18.15,17.18,12.3,12.93,6.37,5.32,"2000-2001","REG",82,0,2001
"Chicago Bulls",87.573,10.26,11.61,34.27,40.05,14.78,17.04,12.72,13.52,6.22,5.15,"2000-2001","REG",82,0,2001
"Cleveland Cavaliers",92.207,13.06,14.56,39.85,36.59,15.66,18.18,14.13,13.82,6.01,5.26,"2000-2001","REG",82,0,2001
"Dallas Mavericks",100.476,15.29,13.27,39.22,40.73,16.79,15.5,11.28,14.21,5.63,4.96,"2000-2001","REG",82,0,2001
"Denver Nuggets",96.561,15.22,14.94,38.98,41.8,14.8,15.39,13.44,13.88,6.55,6.15,"2000-2001","REG",82,0,2001
"Detroit Pistons",95.573,15.39,13.6,34.85,35.37,16.67,16.73,14.82,13.37,5.17,5.27,"2000-2001","REG",82,0,2001
"Golden State Warriors",92.488,13.82,15.16,39.93,44.9,17.84,18.09,16.33,13.73,5.99,5.48,"2000-2001","REG",82,0,2001
"Houston Rockets",97.22,10.88,11.73,39.78,38.15,14.7,16.24,13.18,14.07,5.63,5.34,"2000-2001","REG",82,0,2001
"Indiana Pacers",92.573,11.11,12.8,33.29,34.2,14.38,15.51,12.04,13.3,6.85,5.94,"2000-2001","REG",82,0,2001
"Los Angeles Clippers",92.451,11.38,10.78,42.66,41.59,14.02,16.82,13.18,13.63,6.26,5.15,"2000-2001","REG",82,0,2001
"Los Angeles Lakers",100.622,9.63,12.78,44.29,37.8,15.04,16.06,15.29,13.52,6,5.39,"2000-2001","REG",82,1,2001
"Vancouver Grizzlies",91.732,11.77,14.41,33.12,42.37,15.27,18.04,11.35,14.57,5.55,5.18,"2000-2001","REG",82,0,2001
"Miami Heat",88.89,9.98,9.96,32.2,35.76,17.05,14.43,10.85,12.22,6.45,5.38,"2000-2001","REG",82,0,2001
"Milwaukee Bucks",100.732,14.59,12.16,33.49,36.85,17.07,14.88,12.38,14.49,6.55,5.29,"2000-2001","REG",82,0,2001
"Minnesota Timberwolves",97.341,15.07,12.56,35.61,41,16.79,15.78,14.59,13.3,6.55,6.13,"2000-2001","REG",82,0,2001
"New Jersey Nets",92.098,11.71,13.79,38.22,37.22,17.04,16.32,11.73,14.02,4.65,4.24,"2000-2001","REG",82,0,2001
"Charlotte Hornets",91.939,13.55,10.44,34.02,35.37,15.56,15.79,13.54,12.87,6.59,5.52,"2000-2001","REG",82,0,2001
