"name","lon","lat","line","direction"
"6027-Popiela",20.920274,52.282663,"33","Kielecka"
"5004-Zajezdnia Wola",20.973602,52.235125,"10","os.Górczewska"
"7089-Koszykowa",21.004789,52.222721,"10","os.Górczewska"
"3006-Malczewskiego",21.02428,52.194204,"10","Wyœcigi"
"3001-pl.Unii Lubelskiej",21.02111,52.214408,"10","Zajezdnia Wola"
"6039-pl.Grunwaldzki",20.978472,52.262406,"33","Kielecka"
"7089-Koszykowa",21.004585,52.22333,"33","Kielecka"
"7002-Dw.Centralny",21.001595,52.228155,"17","Woronicza"
"3238-Szpital MSW",21.001112,52.199139,"17","Woronicza"
"7082-Nowolipki",20.991546,52.244277,"33","Metro M³ociny"
"6026-Bogus³awskiego",20.923842,52.281365,"33","Kielecka"
"5005-P³ocka",20.966465,52.233615,"10","os.Górczewska"
"7002-Dw.Centralny",21.001338,52.228647,"10","os.Górczewska"
"3007-Królikarnia",21.024506,52.190264,"10","Wyœcigi"
"5005-P³ocka",20.96708,52.233683,"10","Wyœcigi"
"5001-Po³czyñska-parking P+R",20.923303,52.222089,"10","os.Górczewska"
"5009-Reduta Wolska",20.94202,52.226569,"10","Królikarnia"
"6039-pl.Grunwaldzki",20.979296,52.263155,"17","Tarchomin Koœcielny"
"1256-Myœliborska",20.961185,52.317097,"17","Tarchomin Koœcielny"
